0	233500
0.2	199600
0.4	173100
0.6	147900
0.8	138100
1	122800
1.2	112400
1.4	97900
1.6	88200
1.8	85600
2	81600
2.2	70000
2.4	65200
2.6	63800
2.8	54700
3	48900
3.2	50800
3.4	45600
3.6	46500
3.8	37800
4	36600
4.2	34700
4.4	31900
4.6	30700
4.8	27900
5	28200
5.2	24100
5.4	25800
5.6	23800
5.8	21500
6	19000
6.2	19100
6.4	18800
6.6	16700
6.8	16400
7	17000
7.2	14700
7.4	15700
7.6	15000
7.8	11600
8	14200
8.2	11400
8.4	10300
8.6	10300
8.8	8800
9	11100
9.2	7800
9.4	8000
9.6	7200
9.8	8100
10	6600
10.2	5600
10.4	6700
10.6	6900
10.8	8200
11	6600
11.2	5800
11.4	4600
11.6	6300
11.8	5400
12	4900
12.2	4200
12.4	4200
12.6	3900
12.8	5400
13	4300
13.2	4100
13.4	3900
13.6	3100
13.8	4300
14	2900
14.2	3200
14.4	3100
14.6	3100
14.8	3500
15	2400
15.2	3000
15.4	2000
15.6	2400
15.8	2400
16	2400
16.2	2700
16.4	1600
16.6	2500
16.8	2400
17	1500
17.2	1900
17.4	1000
17.6	1300
17.8	1400
18	1800
18.2	1500
18.4	1500
18.6	1500
18.8	1500
19	1100
19.2	700
19.4	1800
19.6	800
19.8	1900
