0	310000
0.2	267400
0.4	237200
0.6	207100
0.8	183800
1	169200
1.2	154800
1.4	133400
1.6	126400
1.8	113700
2	107400
2.2	95400
2.4	91500
2.6	78000
2.8	77400
3	65500
3.2	67400
3.4	61700
3.6	58100
3.8	51000
4	48400
4.2	50400
4.4	45200
4.6	40200
4.8	37300
5	35800
5.2	33000
5.4	33000
5.6	29900
5.8	29100
6	29100
6.2	26000
6.4	23200
6.6	22600
6.8	20500
7	21800
7.2	20000
7.4	18300
7.6	19900
7.8	19400
8	13700
8.2	16300
8.4	14900
8.6	15700
8.8	13100
9	13300
9.2	12800
9.4	11900
9.6	9800
9.8	9400
10	10600
10.2	9400
10.4	9900
10.6	10500
10.8	10400
11	8400
11.2	7600
11.4	7800
11.6	6600
11.8	6500
12	7200
12.2	6700
12.4	6700
12.6	6100
12.8	6400
13	5400
13.2	4000
13.4	5000
13.6	5100
13.8	4100
14	3400
14.2	5100
14.4	4200
14.6	4600
14.8	3900
15	3500
15.2	3300
15.4	4000
15.6	2800
15.8	3700
16	3000
16.2	3700
16.4	3000
16.6	2200
16.8	2600
17	2600
17.2	1800
17.4	1900
17.6	2300
17.8	2400
18	1400
18.2	2000
18.4	2500
18.6	1800
18.8	2200
19	2200
19.2	2100
19.4	1100
19.6	1900
19.8	2600
